CMDLINE C:\Users\Алексей\AppData\Local\Programs\Python\Python311\python.exe mem_test.py
MEM 2010.078125 1685209958.7102
MEM 2010.078125 1685209958.8106
MEM 2010.078125 1685209958.9111
MEM 2010.078125 1685209959.0128
MEM 2010.078125 1685209959.1133
MEM 2010.078125 1685209959.2146
MEM 2010.078125 1685209959.3156
MEM 2010.078125 1685209959.4160
MEM 2010.078125 1685209959.5170
MEM 2010.078125 1685209959.6179
MEM 2010.078125 1685209959.7203
MEM 2010.078125 1685209959.8209
MEM 2010.078125 1685209959.9218
MEM 2010.078125 1685209960.0229
MEM 2010.078125 1685209960.1237
MEM 2010.078125 1685209960.2245
MEM 2010.078125 1685209960.3251
MEM 2010.078125 1685209960.4254
MEM 2010.078125 1685209960.5257
MEM 2010.078125 1685209960.6263
MEM 2010.078125 1685209960.7278
MEM 2010.078125 1685209960.8293
MEM 2010.078125 1685209960.9295
MEM 2010.078125 1685209961.0301
MEM 2010.078125 1685209961.1305
MEM 2010.078125 1685209961.2310
MEM 2010.078125 1685209961.3317
MEM 2010.078125 1685209961.4321
MEM 2010.078125 1685209961.5352
MEM 2010.078125 1685209961.6398
MEM 2010.078125 1685209961.7407
MEM 2010.078125 1685209961.8414
